geolocation_zip_state_id,geolocation_zip_code_prefix,geolocation_state,region_id,representative_city,observation_count,distinct_city_count,latitude_mean_all,longitude_mean_all,latitude_mean_in_broad_bbox,longitude_mean_in_broad_bbox,broad_bbox_outlier_count
28500-RJ,28500,RJ,RJ,cantagalo,96,1,-21.974364,-42.354218,-21.974364,-42.354218,0
28510-RJ,28510,RJ,RJ,santa rita da floresta,3,1,-15.632864,-43.072636,-15.632864,-43.072636,0
28525-RJ,28525,RJ,RJ,boa sorte,1,1,-21.846855,-42.268627,-21.846855,-42.268627,0
28540-RJ,28540,RJ,RJ,cordeiro,216,1,-22.027257,-42.366261,-22.027257,-42.366261,0
28545-RJ,28545,RJ,RJ,macuco,37,1,-21.984767,-42.252448,-21.984767,-42.252448,0
28550-RJ,28550,RJ,RJ,sao sebastiao do alto,20,2,-21.951503,-42.132038,-21.951503,-42.132038,0
28555-RJ,28555,RJ,RJ,valao do barro,1,1,-22.345767,-41.757679,-22.345767,-41.757679,0
28557-RJ,28557,RJ,RJ,ipituna,5,2,-20.143301,-41.811194,-20.143301,-41.811194,0
28570-RJ,28570,RJ,RJ,itaocara,170,1,-21.678812,-42.085751,-21.678812,-42.085751,0
28580-RJ,28580,RJ,RJ,laranjais,1,1,-22.684215,-43.576811,-22.684215,-43.576811,0
28595-RJ,28595,RJ,RJ,portela,10,2,-15.307156,-38.850531,-21.861835,-42.343803,1
28605-RJ,28605,RJ,RJ,nova friburgo,92,1,-22.269904,-42.519719,-22.269904,-42.519719,0
28610-RJ,28610,RJ,RJ,nova friburgo,143,2,-22.284797,-42.531654,-22.284797,-42.531654,0
28611-RJ,28611,RJ,RJ,nova friburgo,48,1,-22.285311,-42.524152,-22.285311,-42.524152,0
28613-RJ,28613,RJ,RJ,nova friburgo,141,1,-22.288207,-42.531245,-22.288207,-42.531245,0
