date_id,date,day_of_month,day_of_week_iso,day_name,day_name_short,week_start_date,iso_week,iso_year,month_number,month_name,month_name_short,year_month,quarter_number,year_quarter,year,is_weekend,is_month_end
20161228,2016-12-28,28,3,Wednesday,Wed,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161229,2016-12-29,29,4,Thursday,Thu,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161230,2016-12-30,30,5,Friday,Fri,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161231,2016-12-31,31,6,Saturday,Sat,2016-12-26,52,2016,12,December,Dec,2016-12,4,2016-Q4,2016,1,1
20170101,2017-01-01,1,7,Sunday,Sun,2016-12-26,52,2016,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170102,2017-01-02,2,1,Monday,Mon,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170103,2017-01-03,3,2,Tuesday,Tue,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170104,2017-01-04,4,3,Wednesday,Wed,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170105,2017-01-05,5,4,Thursday,Thu,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170106,2017-01-06,6,5,Friday,Fri,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170107,2017-01-07,7,6,Saturday,Sat,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170108,2017-01-08,8,7,Sunday,Sun,2017-01-02,1,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170109,2017-01-09,9,1,Monday,Mon,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170110,2017-01-10,10,2,Tuesday,Tue,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170111,2017-01-11,11,3,Wednesday,Wed,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170112,2017-01-12,12,4,Thursday,Thu,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170113,2017-01-13,13,5,Friday,Fri,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170114,2017-01-14,14,6,Saturday,Sat,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170115,2017-01-15,15,7,Sunday,Sun,2017-01-09,2,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170116,2017-01-16,16,1,Monday,Mon,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170117,2017-01-17,17,2,Tuesday,Tue,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170118,2017-01-18,18,3,Wednesday,Wed,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170119,2017-01-19,19,4,Thursday,Thu,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170120,2017-01-20,20,5,Friday,Fri,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170121,2017-01-21,21,6,Saturday,Sat,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170122,2017-01-22,22,7,Sunday,Sun,2017-01-16,3,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170123,2017-01-23,23,1,Monday,Mon,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170124,2017-01-24,24,2,Tuesday,Tue,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170125,2017-01-25,25,3,Wednesday,Wed,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170126,2017-01-26,26,4,Thursday,Thu,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170127,2017-01-27,27,5,Friday,Fri,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170128,2017-01-28,28,6,Saturday,Sat,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170129,2017-01-29,29,7,Sunday,Sun,2017-01-23,4,2017,1,January,Jan,2017-01,1,2017-Q1,2017,1,0
20170130,2017-01-30,30,1,Monday,Mon,2017-01-30,5,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,0
20170131,2017-01-31,31,2,Tuesday,Tue,2017-01-30,5,2017,1,January,Jan,2017-01,1,2017-Q1,2017,0,1
20170201,2017-02-01,1,3,Wednesday,Wed,2017-01-30,5,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170202,2017-02-02,2,4,Thursday,Thu,2017-01-30,5,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170203,2017-02-03,3,5,Friday,Fri,2017-01-30,5,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170204,2017-02-04,4,6,Saturday,Sat,2017-01-30,5,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170205,2017-02-05,5,7,Sunday,Sun,2017-01-30,5,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170206,2017-02-06,6,1,Monday,Mon,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170207,2017-02-07,7,2,Tuesday,Tue,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170208,2017-02-08,8,3,Wednesday,Wed,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170209,2017-02-09,9,4,Thursday,Thu,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170210,2017-02-10,10,5,Friday,Fri,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170211,2017-02-11,11,6,Saturday,Sat,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170212,2017-02-12,12,7,Sunday,Sun,2017-02-06,6,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170213,2017-02-13,13,1,Monday,Mon,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170214,2017-02-14,14,2,Tuesday,Tue,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170215,2017-02-15,15,3,Wednesday,Wed,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170216,2017-02-16,16,4,Thursday,Thu,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170217,2017-02-17,17,5,Friday,Fri,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170218,2017-02-18,18,6,Saturday,Sat,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170219,2017-02-19,19,7,Sunday,Sun,2017-02-13,7,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170220,2017-02-20,20,1,Monday,Mon,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170221,2017-02-21,21,2,Tuesday,Tue,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170222,2017-02-22,22,3,Wednesday,Wed,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170223,2017-02-23,23,4,Thursday,Thu,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170224,2017-02-24,24,5,Friday,Fri,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170225,2017-02-25,25,6,Saturday,Sat,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170226,2017-02-26,26,7,Sunday,Sun,2017-02-20,8,2017,2,February,Feb,2017-02,1,2017-Q1,2017,1,0
20170227,2017-02-27,27,1,Monday,Mon,2017-02-27,9,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,0
20170228,2017-02-28,28,2,Tuesday,Tue,2017-02-27,9,2017,2,February,Feb,2017-02,1,2017-Q1,2017,0,1
20170301,2017-03-01,1,3,Wednesday,Wed,2017-02-27,9,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170302,2017-03-02,2,4,Thursday,Thu,2017-02-27,9,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170303,2017-03-03,3,5,Friday,Fri,2017-02-27,9,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170304,2017-03-04,4,6,Saturday,Sat,2017-02-27,9,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170305,2017-03-05,5,7,Sunday,Sun,2017-02-27,9,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170306,2017-03-06,6,1,Monday,Mon,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170307,2017-03-07,7,2,Tuesday,Tue,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170308,2017-03-08,8,3,Wednesday,Wed,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170309,2017-03-09,9,4,Thursday,Thu,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170310,2017-03-10,10,5,Friday,Fri,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170311,2017-03-11,11,6,Saturday,Sat,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170312,2017-03-12,12,7,Sunday,Sun,2017-03-06,10,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170313,2017-03-13,13,1,Monday,Mon,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170314,2017-03-14,14,2,Tuesday,Tue,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170315,2017-03-15,15,3,Wednesday,Wed,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170316,2017-03-16,16,4,Thursday,Thu,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170317,2017-03-17,17,5,Friday,Fri,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170318,2017-03-18,18,6,Saturday,Sat,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170319,2017-03-19,19,7,Sunday,Sun,2017-03-13,11,2017,3,March,Mar,2017-03,1,2017-Q1,2017,1,0
20170320,2017-03-20,20,1,Monday,Mon,2017-03-20,12,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170321,2017-03-21,21,2,Tuesday,Tue,2017-03-20,12,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
20170322,2017-03-22,22,3,Wednesday,Wed,2017-03-20,12,2017,3,March,Mar,2017-03,1,2017-Q1,2017,0,0
